#Digilent WaveForms Logger,,,,,,
#Device Name: Discovery2,,,,,,
#Serial Number: SN:210321AA2E82,,,,,,
#Date Time: 2024-10-17 10:12:25.971,,,,,,
,,,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,-9.29030158,9.290305443,0.008472535,9.624363122,9.624365739,0.007097452
1,-9.290827619,9.290831733,0.00874371,9.624693668,9.624696169,0.006938676
2,-9.290414142,9.290418333,0.008823888,9.624433088,9.624435406,0.006680477
3,-9.290517736,9.290521468,0.008328161,9.623152615,9.623155192,0.007042557
4,-9.290504282,9.290508054,0.008372408,9.623191634,9.623194201,0.007027706
5,-9.294775381,9.29478484,0.013260286,9.485293877,9.491337821,0.338664579
6,-9.383497117,9.383536737,0.027268385,6.273119719,6.350468406,0.988138637
7,-9.425489237,9.425494246,0.009717403,4.615079743,4.615784882,0.08067864
8,-9.432900429,9.432907086,0.011207001,4.233008101,4.245951686,0.331282563
9,-9.465660624,9.465669148,0.012702956,2.76744588,2.791152869,0.363011905
10,-7.007049038,7.222892939,1.752554187,1.44924391,1.507463309,0.414894829
11,0.025295404,2.181732636,2.181585991,-0.03751272,0.458012729,0.456473938
12,5.10111073,5.274167442,1.339966986,-1.080916644,1.115208425,0.274424926
13,8.43804543,8.442999621,0.289191814,-2.166260434,2.201808133,0.394049217
14,8.569408203,8.569419659,0.014012203,-3.628444987,3.653507138,0.427201807
15,8.535316989,8.535326076,0.012454922,-4.777991833,4.78676117,0.289614466
16,8.490859254,8.490876772,0.017247688,-6.180150678,6.198657153,0.478631475
17,8.452154769,8.452165747,0.013623104,-7.345333199,7.351294367,0.295988281
18,8.411229975,8.411250197,0.018444253,-8.431620637,8.442997315,0.438151894
19,8.357767234,8.357772519,0.009399171,-9.704235523,9.706569521,0.212849197
20,8.357124596,8.35712767,0.007168197,-9.951660598,9.951664465,0.008773094
21,8.357243885,8.357246949,0.007155795,-9.951906825,9.951910898,0.009003399
22,8.3581285,8.358131205,0.006724316,-9.951885228,9.951889229,0.00892403
23,8.358014494,8.358017247,0.006784241,-9.952050512,9.952054552,0.008966927
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
